IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.190.56,4,4,0.00,216.95,18.26
104.16.13.71,4,4,0.00,204.19,7.34
162.159.160.23,4,4,0.00,199.54,22.89
104.18.22.69,4,4,0.00,203.47,17.74
104.18.16.86,4,4,0.00,205.68,16.99
162.159.241.177,4,4,0.00,205.63,15.39
104.18.30.76,4,4,0.00,199.60,15.37
162.159.253.245,4,4,0.00,201.42,10.97
104.19.60.188,4,4,0.00,200.02,9.60
104.20.25.14,4,4,0.00,68.61,5.91
104.19.201.10,4,4,0.00,203.84,4.10
198.41.200.162,4,4,0.00,202.20,2.04
162.159.49.176,4,4,0.00,204.12,28.10
104.16.211.4,4,4,0.00,201.65,13.87
162.159.32.101,4,4,0.00,203.92,7.27